Source,Title,Published,Description,Sentiment,Decision
wired,Want to Look at Your Phone Less? Just Cover Your Screen,2025-04-03T08:00:00Z,An art studio hopes its concept for a phone case that can flip around to cover most of your screen will help cure your screen addiction.,0.315,BUY
wired,Trump’s Tariffs Could Reshape the US Tech Industry,2025-04-03T02:23:49Z,"Apple, Amazon, and other tech companies reliant on global supply chains stand to lose the most from Trump's trade policies, but some software firms expect more demand for their services.",-0.139,SELL
wired,Audio-Technica ATH-CKS50TW2 Earbuds Review: Max Power,2025-04-03T12:32:00Z,"These mid-tier earbuds have 15 hours of battery life with noise canceling, and a magnetic design that keeps them charged—no case required.",0.0,HOLD
wired,"Google Discontinues Nest Protect, and Apple’s WWDC Gets a Date—Here’s Your Gear News of the Week",2025-03-29T10:00:00Z,"Plus: Lossless audio comes to the AirPods Max, the Pixel 9a gets an on-shelf date, and Sony’s midrange buds get a chunky upgrade.",0.229,BUY
wired,"Diet-to-Go Meal Plan Review: Simple, Healthy, Maybe Soggy",2025-03-31T14:06:00Z,"Diet-to-Go’s ready-to-eat meal delivery offers diabetic, keto, and weight-loss plans. They’re often tasty sometimes soggy.",0.241,BUY
wired,Vizio All-in-One Soundbar (SV210D-0806) Review: Cheap Thrill,2025-03-27T13:33:00Z,"Vizio’s minimalist new budget bar cuts the frills, keeps the fun.",0.326,BUY
wired,"For a Master Class in Salt, Try Making Kimchi",2025-03-30T12:00:00Z,"There are many recipes for the fermented Korean staple—typically made with cabbage, chili powder, and aromatics—but all of them put salt at the center.",0.0,HOLD
wired,Last Chance: 109 Best Amazon Spring Sale Deals for March 2025,2025-03-31T13:33:24Z,"Amazon's sale event ends tonight, so this is your last chance to save on our favorite WIRED-tested home and tech gadgets.",0.791,BUY
wired,20 Key iPhone Settings to Change (2025),2025-04-01T13:30:00Z,Tweak these settings to get the most out of your feature-packed iPhone.,0.0,HOLD
wired,The 103 Best Amazon Spring Sale Deals for March 2025,2025-03-28T21:31:42Z,Now’s your chance to save on our favorite WIRED-tested home and tech gadgets.,0.747,BUY
bbc-news,Global stocks slide as Trump tariffs hit markets,2025-04-03T09:07:10Z,"Nike and Apple were among brands worst hit, but Trump maintained the US economy would ultimately ""boom"".",-0.149,SELL
bbc-news,Stocks fall again as Trump tariff jitters continue,2025-04-04T10:04:24Z,"The US president, who has vowed to remake the global trade order, dismissed concerns, noting the US jobs market is strong.",0.204,BUY
bbc-news,Disney faces US investigation over DEI practices,2025-03-29T15:09:01Z,The probe is part of a wider crackdown on diversity and inclusion practices by the Trump administration.,0.0,HOLD
the-wall-street-journal,WSJ: Visa Offers Apple Roughly $100 Million to Switch Apple Card’s Network From Mastercard,2025-04-03T23:15:38Z,,0.0,HOLD
the-wall-street-journal,The WSJ Estimates the Effect of Trump’s Tariffs on the iPhone,2025-04-05T23:36:37Z,,0.0,HOLD
